rank,trial,status,disappeared,image_fully_clear,final_score,final_detection_class,original_confidence,best_glare_count,pruned_glare_count,glint_area_proxy,mean_opacity,mean_intensity,steps_run,stop_reason,runtime_sec,output_dir,seed,lr,glare_count,max_glare_count,max_size_frac,naturalness_weight,auto_max_size_frac,auto_escalation_limit,polish_iterations,polish_candidates,polish_max_size_frac,polish_max_opacity,polish_max_intensity,polish_max_glare_count,returncode,error
1,9,ok,True,False,0.0,,0.9554982781410217,35,35,0.9050137369439777,0.44510378338372564,0.7802316015129898,375,disappeared,338.06,outputs\sweeps\car_sweep_20260714_113925\trial_009,1009,0.04286,5,48,0.045,0.02,0.16,4,368,12,0.3,0.75,1.45,60,0,
2,13,ok,True,False,0.0,,0.9554982781410217,40,40,0.9363582184561147,0.42570163658340593,0.8431488398889215,750,disappeared,252.66,outputs\sweeps\car_sweep_20260714_113925\trial_013,1013,0.09728,6,80,0.18,0.08,0.22,8,720,8,0.22,0.75,1.45,80,0,
3,6,ok,True,False,0.0,,0.9554982781410217,37,37,0.944258035376964,0.48610592367926,0.8441412359793742,600,disappeared,183.0,outputs\sweeps\car_sweep_20260714_113925\trial_006,1006,0.10446,6,64,0.11,0.05,0.16,6,750,8,0.3,0.95,1.7,64,0,
4,4,ok,True,False,0.0,,0.9554982781410217,46,46,1.0236277275435832,0.36969841360525807,0.8921146113400169,675,disappeared,324.46,outputs\sweeps\car_sweep_20260714_113925\trial_004,1004,0.03391,6,64,0.08,0.25,0.16,8,637,8,0.38,0.65,1.7,64,0,
5,8,ok,True,False,0.0,,0.9554982781410217,53,53,1.0277408434346849,0.3263223159108273,0.828190755421496,850,disappeared,484.68,outputs\sweeps\car_sweep_20260714_113925\trial_008,1008,0.02921,8,100,0.11,0.35,0.3,10,503,12,0.3,0.55,1.7,100,0,
6,10,ok,True,False,0.0,,0.9554982781410217,52,52,1.1372494027804692,0.32412168007763553,1.018485051647592,675,disappeared,448.16,outputs\sweeps\car_sweep_20260714_113925\trial_010,1010,0.06735,5,120,0.14,0.05,0.3,8,602,8,0.3,0.55,2.0,120,0,
7,14,ok,True,False,0.0,,0.9554982781410217,48,48,1.1552902645169798,0.4099894725489121,1.0519124951420518,850,disappeared,490.08,outputs\sweeps\car_sweep_20260714_113925\trial_014,1014,0.10644,5,32,0.045,0.05,0.22,10,691,10,0.3,0.65,2.4,140,0,
8,11,ok,True,False,0.0,,0.9554982781410217,45,45,1.157680730829057,0.41921291202755556,0.9679748629748706,825,disappeared,295.77,outputs\sweeps\car_sweep_20260714_113925\trial_011,1011,0.06615,5,64,0.08,0.05,0.22,10,419,10,0.3,0.65,1.7,64,0,
9,1,ok,True,False,0.0,,0.9554982781410217,32,32,1.1899328661518318,0.38182966745365576,0.910197081002146,525,disappeared,172.91,outputs\sweeps\car_sweep_20260714_113925\trial_001,1001,0.05208,8,64,0.11,0.05,0.16,6,643,8,0.46,0.75,2.0,64,0,
10,7,ok,True,False,0.0,,0.9554982781410217,57,57,1.5299533523322686,0.36980663818635,0.8460752558039568,525,disappeared,793.17,outputs\sweeps\car_sweep_20260714_113925\trial_007,1007,0.07336,8,120,0.08,0.02,0.3,6,777,8,0.38,0.75,1.7,140,0,
11,2,ok,True,False,0.0,,0.9554982781410217,59,59,1.625326090966769,0.3700305165820744,0.7178780811935819,850,disappeared,436.98,outputs\sweeps\car_sweep_20260714_113925\trial_002,1002,0.02665,8,80,0.06,0.05,0.3,10,665,12,0.3,0.85,1.45,80,0,
12,3,ok,True,False,0.0,,0.9554982781410217,51,51,1.6471221129691398,0.353746842432835,0.7343355110852006,725,disappeared,408.23,outputs\sweeps\car_sweep_20260714_113925\trial_003,1003,0.11686,5,120,0.045,0.02,0.45,8,382,10,0.46,0.55,1.2,120,0,
13,12,ok,False,False,0.2647847831249237,car,0.9554982781410217,54,54,2.5264288172415195,0.4236844213615395,0.8386720997731466,825,auto_exhausted,590.91,outputs\sweeps\car_sweep_20260714_113925\trial_012,1012,0.11864,8,120,0.14,0.0,0.38,10,335,12,0.38,0.85,1.7,120,0,
14,15,ok,False,False,0.27430790662765503,bus,0.9554982781410217,65,65,1.5087441793247094,0.3661169737770183,0.7978907155417072,825,auto_exhausted,762.88,outputs\sweeps\car_sweep_20260714_113925\trial_015,1015,0.04084,6,32,0.14,0.35,0.22,10,615,8,0.38,0.65,1.45,100,0,
15,16,ok,False,False,0.3041672110557556,boat,0.9554982781410217,59,59,1.6024622165635023,0.31720482014960494,0.7552941363581687,525,auto_exhausted,606.25,outputs\sweeps\car_sweep_20260714_113925\trial_016,1016,0.09114,8,32,0.08,0.25,0.38,6,544,8,0.38,0.75,1.7,100,0,
16,5,ok,False,False,0.41914960741996765,bus,0.9554982781410217,56,56,2.1267050302514567,0.3425206836330298,0.814137119079838,825,auto_exhausted,692.15,outputs\sweeps\car_sweep_20260714_113925\trial_005,1005,0.0513,8,64,0.14,0.12,0.38,10,468,8,0.38,0.55,1.45,140,0,
