rank,trial,status,disappeared,image_fully_clear,final_score,final_detection_class,original_confidence,best_glare_count,pruned_glare_count,glint_area_proxy,mean_opacity,mean_intensity,steps_run,stop_reason,runtime_sec,timeout_min,output_dir,seed,lr,glare_count,max_glare_count,max_size_frac,naturalness_weight,auto_max_size_frac,auto_escalation_limit,polish_iterations,polish_candidates,polish_max_size_frac,polish_max_opacity,polish_max_intensity,polish_max_glare_count,polish_add_probability,returncode,error
1,2,ok,True,False,0.0,,0.9554982781410217,16,16,0.5477646717855463,0.4990844018654604,0.7947278360819375,450,disappeared,460.62,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_002,1002,0.05504,5,16,0.04,0.35,0.1,5,815,12,0.22,0.6,0.9,16,0.02,0,
2,1,ok,True,False,0.0,,0.9554982781410217,19,19,0.45034783775563586,0.4063950699428145,0.8703145336464732,300,disappeared,195.48,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_001,1001,0.04308,5,20,0.05,0.35,0.08,3,793,8,0.22,0.5,1.3,20,0.05,0,
3,5,ok,True,False,0.0,,0.9554982781410217,20,20,0.35007093953791724,0.32453871455064354,0.8412158322548526,375,disappeared,167.86,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_005,1005,0.04395,4,24,0.025,0.6,0.12,4,456,8,0.22,0.4,1.3,24,0.02,0,
4,4,ok,True,False,0.0,,0.9554982781410217,28,28,0.5358815276075234,0.3458086663305254,0.6902894772793688,375,disappeared,201.94,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_004,1004,0.03134,4,30,0.04,0.6,0.12,4,787,8,0.26,0.4,1.1,30,0.12,0,
5,12,ok,True,False,0.0,,0.9554982781410217,30,30,0.31539124118733736,0.3694955699548211,0.717720006062887,375,disappeared,519.94,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_012,1012,0.02826,4,12,0.05,0.35,0.12,4,870,8,0.14,0.5,0.9,30,0.02,0,
6,8,ok,True,False,0.0,,0.9554982781410217,36,36,0.6102793815357626,0.2908897114317432,0.5348715825737728,225,disappeared,361.74,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_008,1008,0.07279,4,24,0.05,0.25,0.15,2,890,8,0.22,0.4,0.7,36,0.08,0,
7,11,ok,False,False,0.302224338054657,car,0.9554982781410217,24,24,0.2209795715141433,0.29086279614798954,0.9902580113898592,225,auto_exhausted,671.93,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_011,1011,0.06223,5,24,0.06,0.25,0.15,2,684,12,0.15,0.3,1.3,24,0.02,0,
8,6,ok,False,False,0.36755070090293884,car,0.9554982781410217,20,20,0.17416761540439135,0.3913260322827971,0.8328248816169339,375,auto_exhausted,441.6,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_006,1006,0.03174,3,20,0.032,0.8,0.12,4,627,10,0.12,0.5,1.3,20,0.05,0,
9,7,ok,False,False,0.44378870725631714,car,0.9554982781410217,24,24,0.21803271071377262,0.36052530860948867,0.5880955581524038,225,auto_exhausted,612.74,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_007,1007,0.07059,5,16,0.05,0.45,0.08,2,737,12,0.14,0.4,0.7,24,0.12,0,
10,10,ok,False,False,0.46457439661026,car,0.9554982781410217,16,16,0.2539483739657308,0.27946691948428737,0.6628074137018342,375,auto_exhausted,501.56,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_010,1010,0.04414,3,16,0.032,0.35,0.12,4,763,8,0.26,0.3,0.9,16,0.05,0,
11,3,ok,False,False,0.47025004029273987,car,0.9554982781410217,30,30,0.2089589971311265,0.2667587997749845,0.7910048557209286,300,auto_exhausted,321.86,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_003,1003,0.07109,2,30,0.06,0.45,0.15,3,596,8,0.15,0.3,1.1,30,0.02,0,
12,9,ok,False,False,0.5528735518455505,car,0.9554982781410217,20,20,0.0924962676488429,0.3769429100241898,0.5658604477120511,375,auto_exhausted,426.6,15.0,outputs\sweeps\car_sweep_20260715_134245\trial_009,1009,0.04734,3,12,0.032,0.8,0.1,4,502,12,0.1,0.4,0.7,20,0.05,0,
