rank,trial,status,disappeared,image_fully_clear,final_score,final_detection_class,original_confidence,best_glare_count,pruned_glare_count,glint_area_proxy,mean_opacity,mean_intensity,steps_run,stop_reason,runtime_sec,timeout_min,output_dir,seed,lr,glare_count,max_glare_count,max_size_frac,naturalness_weight,auto_max_size_frac,auto_escalation_limit,polish_iterations,polish_candidates,polish_max_size_frac,polish_max_opacity,polish_max_intensity,polish_max_glare_count,returncode,error
1,3,ok,True,False,0.0,,0.9554982781410217,38,38,0.696020956567518,0.41161725254629006,0.9002780802978535,450,disappeared,187.76,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_003,1003,0.03646,6,56,0.045,0.15,0.22,5,510,8,0.3,0.65,1.6,60,0,
2,6,ok,True,False,0.0,,0.9554982781410217,53,53,0.8835109772249801,0.3574957338036445,0.9131888526810271,525,disappeared,518.42,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_006,1006,0.03516,5,64,0.055,0.35,0.2,6,527,10,0.25,0.65,1.7,64,0,
3,9,ok,True,False,0.0,,0.9554982781410217,45,45,0.981805591076745,0.37815761799720754,0.6858661684787181,675,disappeared,303.03,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_009,1009,0.03326,6,48,0.065,0.2,0.18,8,524,8,0.3,0.6,1.3,60,0,
4,4,ok,True,False,0.0,,0.9554982781410217,43,43,1.0460852910505058,0.37381663460149994,0.7045505508329521,450,disappeared,185.79,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_004,1004,0.03841,7,64,0.1,0.2,0.16,5,532,12,0.3,0.7,1.3,80,0,
5,2,ok,True,False,0.0,,0.9554982781410217,55,55,1.0742466433472082,0.3276807929621664,0.6798862312116708,450,disappeared,636.92,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_002,1002,0.03456,7,56,0.08,0.3,0.18,5,586,12,0.34,0.7,1.45,80,0,
6,7,ok,True,False,0.0,,0.9554982781410217,56,56,1.1085969086564114,0.4062479127702086,0.6957288067529934,525,disappeared,361.2,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_007,1007,0.03788,6,56,0.055,0.3,0.22,6,353,12,0.25,0.75,1.45,64,0,
7,1,ok,True,False,0.0,,0.9554982781410217,47,47,1.169772386794356,0.36989835990905834,0.7775328358119155,450,disappeared,300.51,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_001,1001,0.04308,7,64,0.08,0.3,0.16,5,463,12,0.38,0.6,1.6,64,0,
8,10,ok,True,False,0.0,,0.9554982781410217,47,47,1.1923282113332845,0.3429323411302589,0.7425461240270357,450,disappeared,239.39,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_010,1010,0.04377,7,56,0.055,0.2,0.18,5,488,12,0.34,0.55,1.3,60,0,
9,5,ok,False,False,0.3677094280719757,airplane,0.9554982781410217,46,46,1.1325422629059552,0.3857121028212139,0.7062168183075821,450,auto_exhausted,365.77,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_005,1005,0.04757,6,64,0.065,0.25,0.22,5,377,8,0.38,0.7,1.3,80,0,
10,8,ok,False,False,0.37047311663627625,car,0.9554982781410217,53,53,1.223678048232464,0.33607587895615587,0.6369364171165555,450,auto_exhausted,367.84,15.0,C:\Users\AlisonPowell\OneDrive - NT Concepts\Desktop\Internsandbox\Lightsattack\objectdetection_version\outputs\sweeps\car_sweep_20260715_focused_car1\trial_008,1008,0.04077,5,70,0.045,0.25,0.22,5,372,8,0.38,0.6,1.3,80,0,
